step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
98,0.2657057046890259,0.9484126984126984,,,,,,,,2026-04-14T11:51:48.2270000Z
99,0.27358439564704895,0.9365079365079365,,,,,,,,2026-04-14T11:51:49.1700000Z
100,0.21052037179470062,0.9563492063492064,,0.3731395403544108,0.9166666666666666,,,,,2026-04-14T11:51:54.1000000Z
101,0.28117048740386963,0.9404761904761905,,,,,,,,2026-04-14T11:51:56.3630000Z
102,0.15145811438560486,0.9841269841269841,,,,,,,,2026-04-14T11:51:57.9210000Z
103,0.2863275408744812,0.9166666666666666,,,,,,,,2026-04-14T11:51:58.8350000Z
104,0.2219861000776291,0.9444444444444444,,,,,,,,2026-04-14T11:52:00.3560000Z
105,0.20194903016090393,0.9325396825396826,,,,,,,,2026-04-14T11:52:01.2710000Z
106,0.21467190980911255,0.9484126984126984,,,,,,,,2026-04-14T11:52:02.4920000Z
107,0.21228602528572083,0.9404761904761905,,,,,,,,2026-04-14T11:52:04.0000000Z
108,0.24280932545661926,0.9365079365079365,,,,,,,,2026-04-14T11:52:05.2050000Z
109,0.2624887228012085,0.9484126984126984,,,,,,,,2026-04-14T11:52:06.4050000Z
110,0.2612835466861725,0.9365079365079365,,0.35448439159090556,0.9047619047619048,,,,,2026-04-14T11:52:10.7660000Z
111,0.3140939474105835,0.9166666666666666,,,,,,,,2026-04-14T11:52:13.3660000Z
112,0.20858779549598694,0.9484126984126984,,,,,,,,2026-04-14T11:52:14.5850000Z
113,0.13752415776252747,0.9722222222222222,,,,,,,,2026-04-14T11:52:15.8090000Z
114,0.22794555127620697,0.9365079365079365,,,,,,,,2026-04-14T11:52:17.0170000Z
115,0.36130982637405396,0.9007936507936508,,,,,,,,2026-04-14T11:52:18.2800000Z
116,0.2584076523780823,0.9246031746031746,,,,,,,,2026-04-14T11:52:19.5180000Z
117,0.16387557983398438,0.9365079365079365,,,,,,,,2026-04-14T11:52:21.0770000Z
118,0.19014033675193787,0.9325396825396826,,,,,,,,2026-04-14T11:52:22.8890000Z
119,0.21511676907539368,0.9206349206349206,,,,,,,,2026-04-14T11:52:23.5270000Z
120,0.3384855091571808,0.9007936507936508,,0.3032130892314608,0.9206349206349206,,,,,2026-04-14T11:52:28.4610000Z
121,0.23936139047145844,0.9166666666666666,,,,,,,,2026-04-14T11:52:30.7610000Z
122,0.2649211883544922,0.9166666666666666,,,,,,,,2026-04-14T11:52:31.9700000Z
123,0.22030049562454224,0.9365079365079365,,,,,,,,2026-04-14T11:52:33.1850000Z
124,0.16171212494373322,0.9444444444444444,,,,,,,,2026-04-14T11:52:34.3950000Z
125,0.26081332564353943,0.9166666666666666,,,,,,,,2026-04-14T11:52:35.6120000Z
126,0.2320440411567688,0.9444444444444444,,,,,,,,2026-04-14T11:52:36.8490000Z
127,0.19113188982009888,0.9523809523809523,,,,,,,,2026-04-14T11:52:38.3760000Z
128,0.1613929271697998,0.9365079365079365,,,,,,,,2026-04-14T11:52:39.5830000Z
129,0.18128931522369385,0.9603174603174603,,,,,,,,2026-04-14T11:52:40.7860000Z
130,0.19301681220531464,0.9285714285714286,,0.2105232798863971,0.9365079365079365,,,,,2026-04-14T11:52:45.1440000Z
131,0.21105100214481354,0.9285714285714286,,,,,,,,2026-04-14T11:52:47.4140000Z
132,0.3150561451911926,0.9126984126984127,,,,,,,,2026-04-14T11:52:48.6740000Z
133,0.3130945563316345,0.8968253968253969,,,,,,,,2026-04-14T11:52:49.8920000Z
134,0.2612321078777313,0.9047619047619048,,,,,,,,2026-04-14T11:52:51.1460000Z
135,0.18576596677303314,0.9444444444444444,,,,,,,,2026-04-14T11:52:52.3490000Z
136,0.19020995497703552,0.9523809523809523,,,,,,,,2026-04-14T11:52:53.5580000Z
137,0.24076126515865326,0.9087301587301587,,,,,,,,2026-04-14T11:52:55.0730000Z
138,0.21980130672454834,0.9365079365079365,,,,,,,,2026-04-14T11:52:56.2820000Z
139,0.11928900331258774,0.9603174603174603,,,,,,,,2026-04-14T11:52:57.5010000Z
